Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity	Wavelength	Intensity
(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)	(nm)	(-)
 	Pk16eVCsFA	 	Pk12eV	 	Total	 	Total absorptance	 	Transmittance	 	1-Reflectance	 	s_Lif	 	ITOsput030E20	 	SnO2	 	C60	 	NiOCSEMasdep	 	ITOsput1E20	 	SnO2	 	C60	 	s_ITO4	 	SiO2	 	Agpvlab
420.0	0.660763080379805	420.0	4.014559562897787e-05	420.0	0.660803225975434	420.0	0.8888777007713927	420.0	1.1114680336921425e-16	420.0	0.8888777007713928	420.0	1.1102230246251565e-15	420.0	0.13526673678670587	420.0	0.0019162320342679395	420.0	0.09087443815024154	420.0	3.348826223953982e-07	420.0	6.026756598236414e-07	420.0	8.461384110722883e-07	420.0	1.5284128033486548e-05	420.0	1.1405950844114177e-14	420.0	2.3665827156630354e-30	420.0	4.074939712619634e-15
425.0	0.6662945522828098	425.0	5.331649760458951e-05	425.0	0.6663478687804143	425.0	0.8774997800608952	425.0	1.739208926592783e-16	425.0	0.8774997800608955	425.0	-9.992007221626409e-16	425.0	0.11614083700323452	425.0	0.0016510745735782706	425.0	0.09333742480244867	425.0	3.452859449376474e-07	425.0	6.821375473322255e-07	425.0	9.690918850393827e-07	425.0	2.057838581989096e-05	425.0	1.6493680901002286e-14	425.0	9.466330862652142e-30	425.0	6.636417359302798e-15
430.0	0.6717731089281784	430.0	6.87448784237699e-05	430.0	0.6718418538066022	430.0	0.867993884199549	430.0	2.9594242237497993e-16	430.0	0.8679938841995494	430.0	-1.1102230246251565e-15	430.0	0.09876658737881772	430.0	0.0014520437299045952	430.0	0.09590439864188693	430.0	3.440478798560269e-07	430.0	7.356465626695325e-07	430.0	1.1008590199495193e-06	430.0	2.6820088839191297e-05	430.0	2.5296651787765443e-14	430.0	7.888609052210118e-30	430.0	1.1755094690021023e-14
435.0	0.6779189366320578	435.0	8.658539191246719e-05	435.0	0.6780055220239702	435.0	0.8607743200835727	435.0	4.900027158540088e-16	435.0	0.8607743200835731	435.0	5.551115123125783e-16	435.0	0.08311706938364949	435.0	0.0012571302061326062	435.0	0.09835822866142452	435.0	3.3391435341778054e-07	435.0	7.631749702110012e-07	435.0	1.202158755966997e-06	435.0	3.407056025816091e-05	435.0	3.701543477182663e-14	435.0	-4.1020767071492614e-29	435.0	2.0280526326929603e-14
440.0	0.6852844489883475	440.0	0.00010629210605102128	440.0	0.6853907410943986	440.0	0.8559849955914927	440.0	8.237398627354037e-16	440.0	0.8559849955914934	440.0	2.220446049250313e-16	440.0	0.06906984708508546	440.0	0.001067215092851792	440.0	0.10041303380901212	440.0	3.1468403361304743e-07	440.0	7.58028911389784e-07	440.0	1.2513163108516623e-06	440.0	4.183448079879011e-05	440.0	5.4258851236157224e-14	440.0	-1.8932661725304283e-29	440.0	3.549277295033536e-14
445.0	0.6941714309518883	445.0	0.00012991966747105156	445.0	0.6943013506193593	445.0	0.8536151414675718	445.0	1.4262145603151013e-15	445.0	0.8536151414675732	445.0	-9.992007221626409e-16	445.0	0.056481717175805524	445.0	0.0009467367822580952	445.0	0.10183226800172984	445.0	2.9452389221072163e-07	445.0	7.370694843780528e-07	445.0	1.3506327163726817e-06	445.0	5.068666218181902e-05	445.0	8.156024239560625e-14	445.0	2.524354896707238e-29	445.0	6.358590139070647e-14
450.0	0.7047067125054222	450.0	0.00015807269709571968	450.0	0.7048647852025178	450.0	0.8535336868954467	450.0	2.5143769327879948e-15	450.0	0.8535336868954493	450.0	-3.3306690738754696e-16	450.0	0.04528469718753436	450.0	0.0009311118861879963	450.0	0.10239002950992959	450.0	2.738761956813196e-07	450.0	7.022389546867882e-07	450.0	1.6029065111167575e-06	450.0	6.048408737831254e-05	450.0	1.2254734266352843e-13	450.0	2.524354896707238e-29	450.0	1.1506825578804786e-13
455.0	0.7166827026006994	455.0	0.0001932303084950916	455.0	0.7168759329091945	455.0	0.8551851569363564	455.0	4.460403424255379e-15	455.0	0.8551851569363609	455.0	4.440892098500626e-16	455.0	0.03543191717854732	455.0	0.0009163807548993042	455.0	0.10188650109957043	455.0	2.5611551879078714e-07	455.0	6.598377541112217e-07	455.0	1.9054643754142777e-06	455.0	7.160357610541988e-05	455.0	1.8145654433737133e-13	455.0	3.534096855390133e-28	455.0	2.091961634427247e-13
460.0	0.7303796265550483	460.0	0.00023741409740735963	460.0	0.7306170406524557	460.0	0.8588995911112203	460.0	7.874029798088228e-15	460.0	0.8588995911112282	460.0	-8.881784197001252e-16	460.0	0.026887230224624692	460.0	0.0009032896362843879	460.0	0.10040451686718577	460.0	2.4118981298504533e-07	460.0	6.128716349397221e-07	460.0	2.2705220956975845e-06	460.0	8.438914648921583e-05	460.0	2.6026049833921725e-13	460.0	-7.573064690121713e-28	460.0	3.7754617625601666e-13
465.0	0.7452600992645284	465.0	0.00029575512679556046	465.0	0.745555854391324	465.0	0.8641204549311514	465.0	1.3496085742162285e-14	465.0	0.864120454931165	465.0	-2.220446049250313e-16	465.0	0.019590252926409812	465.0	0.0008909937956862457	465.0	0.09798007129505126	465.0	2.314782607121258e-07	465.0	5.64847198761601e-07	465.0	2.738119293309945e-06	465.0	9.974807692265777e-05	465.0	3.4715794724523475e-13	465.0	-8.077935669463161e-28	465.0	6.577700563170703e-13
470.0	0.7605529198028164	470.0	0.00037229784693489565	470.0	0.7609252176497513	470.0	0.8702492082398218	470.0	2.5782373442496e-14	470.0	0.8702492082398475	470.0	-1.1102230246251565e-16	470.0	0.013529563730654837	470.0	0.0008276183383622016	470.0	0.09484473046049902	470.0	2.2490149344071855e-07	470.0	5.153331989977759e-07	470.0	3.1348171363255257e-06	470.0	0.00011820300695631552	470.0	4.93839268224104e-13	470.0	2.0194839173657902e-27	470.0	1.275623384688783e-12
475.0	0.7760181882442193	475.0	0.0004737666648951266	475.0	0.7764919549091145	475.0	0.8774201853504554	475.0	4.5073882283271254e-14	475.0	0.8774201853505005	475.0	-1.1102230246251565e-16	475.0	0.008640830267350852	475.0	0.0008157908818009485	475.0	0.0913258820167494	475.0	2.22595630241878e-07	475.0	4.6706586677360525e-07	475.0	3.852479251711391e-06	475.0	0.00014118513182881818	475.0	6.014298875483918e-13	475.0	6.866245319043687e-27	475.0	2.2609548113229498e-12
480.0	0.791313746134658	480.0	0.0006128593353411301	480.0	0.7919266054699992	480.0	0.8856048362329227	480.0	8.298381511007983e-14	480.0	0.8856048362330057	480.0	-1.1102230246251565e-16	480.0	0.004963564263649745	480.0	0.0008036133462708817	480.0	0.08773441445827534	480.0	2.2496661857798997e-07	480.0	4.265641598102182e-07	480.0	4.816237597969897e-06	480.0	0.0001711709213947492	480.0	7.032985420661733e-13	480.0	4.0389678347315804e-27	480.0	4.25332490501365e-12
485.0	0.8057952705235881	485.0	0.0007974167644299604	485.0	0.8065926872880181	485.0	0.8941926306181954	485.0	1.47606409231334e-13	485.0	0.8941926306183431	485.0	5.551115123125783e-16	485.0	0.002404660593268604	485.0	0.000790560477484048	485.0	0.08418893491119017	485.0	2.299244112459307e-07	485.0	4.025234215073541e-07	485.0	6.063392816412205e-06	485.0	0.000209091499110737	485.0	7.055778465517137e-13	485.0	-1.9387045606711586e-26	485.0	7.768491820377628e-12
490.0	0.8202686456377248	490.0	0.001059936042960752	490.0	0.8213285816806856	490.0	0.9040592509133591	490.0	2.6886151974359224e-13	490.0	0.904059250913628	490.0	-2.220446049250313e-16	490.0	0.0009898784834225793	490.0	0.0007770242067542954	490.0	0.0806947320035023	490.0	2.413361950132384e-07	490.0	4.17379149699662e-07	490.0	7.803419114977254e-06	490.0	0.00026057238936092624	490.0	6.523538873888187e-13	490.0	-6.462348535570529e-26	490.0	1.4521680755889257e-11
495.0	0.8339336982686272	495.0	0.001412844609110616	495.0	0.8353465428777378	495.0	0.9138991893505644	495.0	4.723056149906092e-13	495.0	0.9138991893510366	495.0	1.2212453270876722e-15	495.0	0.0006526538577130703	495.0	0.0007625157725357212	495.0	0.07680260533910188	495.0	2.5493494276241944e-07	495.0	5.109567087547824e-07	495.0	1.0063347753136578e-05	495.0	0.00032404223713277004	495.0	7.716485975877733e-13	495.0	-8.401053096241687e-26	495.0	2.616579520445718e-11
500.0	0.8475077424428349	500.0	0.0019210706465457343	500.0	0.8494288130893807	500.0	0.9233848188902712	500.0	8.512192822471027e-13	500.0	0.9233848188911224	500.0	-2.220446049250313e-16	500.0	0.0006727534058782458	500.0	0.000747507441376194	500.0	0.0721164411036943	500.0	2.752466389953705e-07	500.0	6.933220130555682e-07	500.0	1.321006467327642e-05	500.0	0.0004051251662161854	500.0	1.526090144674965e-12	500.0	-2.5849394142282115e-26	500.0	4.8874404039863835e-11
505.0	0.8614882333305703	505.0	0.0026187428768946197	505.0	0.8641069762074649	505.0	0.9323736669331114	505.0	1.509511797333893e-12	505.0	0.9323736669346209	505.0	1.2212453270876722e-15	505.0	0.0006881369615496791	505.0	0.0007328996237723207	505.0	0.06632955353524261	505.0	3.0000641364911714e-07	505.0	9.431882820357468e-07	505.0	1.7332924656841596e-05	505.0	0.0004975243927721214	505.0	2.972337073096642e-12	505.0	-2.5849394142282115e-26	505.0	8.998356282118222e-11
510.0	0.8754230672527026	510.0	0.003600950839611663	510.0	0.8790240180923142	510.0	0.94061976133324	510.0	2.59963327572432e-12	510.0	0.9406197613358396	510.0	7.771561172376096e-16	510.0	0.0007062884710605788	510.0	0.0007186882906359271	510.0	0.05954478767986182	510.0	3.3035577239837417e-07	510.0	1.2919130134357482e-06	510.0	2.2894800925719923e-05	510.0	0.0006014615632576451	510.0	5.613016085171949e-12	510.0	-6.462348535570529e-25	510.0	1.6078449796924177e-10
515.0	0.8887102385040115	515.0	0.0049402300940839024	515.0	0.8936504685980955	515.0	0.947992127171175	515.0	4.71283715571421e-12	515.0	0.9479921271758878	515.0	9.992007221626409e-16	515.0	0.0007236870723791311	515.0	0.0007048259798739798	515.0	0.05217293380881838	515.0	3.650850497621189e-07	515.0	1.7593085078407919e-06	515.0	3.0163245720765423e-05	515.0	0.0007079237592971414	515.0	1.1196005607787242e-11	515.0	8.788794008375919e-25	515.0	3.022353058292473e-10
