Wavelength (nm),Pk12eV10C_n,Pk12eV10C_k
687,2.724929813,0.305352938
688,2.723819437,0.303514438
689,2.722643812,0.301728812
690,2.721440333,0.299936667
691,2.720209,0.298138
692,2.719124625,0.296466125
693,2.71804175,0.29476975
694,2.716961125,0.293036625
695,2.715799,0.2912945
696,2.714596125,0.289569875
697,2.71331175,0.28792425
698,2.71201575,0.28637425
699,2.710712,0.284888
700,2.709386,0.283467333
701,2.708176438,0.282153563
702,2.707083313,0.280946688
703,2.70618875,0.27973025
704,2.705358813,0.278457438
705,2.704628188,0.277055563
706,2.703826687,0.275504063
707,2.702973,0.273887688
708,2.701923,0.272264563
709,2.700776667,0.270685333
710,2.699534,0.26915
711,2.698453375,0.267873125
712,2.697425,0.266608
713,2.696475,0.2653605
714,2.6955765,0.2640695
715,2.694691375,0.262760125
716,2.69380825,0.26142075
717,2.6928842,0.2600218
718,2.691939313,0.25859175
719,2.691052437,0.25723925
720,2.690167125,0.255877062
721,2.689283375,0.254505188
722,2.68838275,0.253105187
723,2.687466375,0.251695125
724,2.686517625,0.250268875
725,2.685519437,0.248835625
726,2.6844814,0.2473932
727,2.6832754,0.2458952
728,2.682051625,0.244529125
729,2.680816,0.243251
730,2.679575375,0.242187875
731,2.67840475,0.2411895
732,2.677339125,0.24028825
733,2.6764475,0.239371
734,2.675609933,0.238400667
735,2.6748146,0.237234
736,2.673999812,0.236019937
737,2.673163562,0.234782938
738,2.672209188,0.233522312
739,2.671204187,0.232294813
740,2.670148563,0.231100437
741,2.669051875,0.229989312
742,2.667948375,0.228918938
743,2.666839625,0.227922062
744,2.665713667,0.226951933
745,2.664610125,0.226016375
746,2.66362575,0.22517325
747,2.662690125,0.224336125
748,2.661787,0.223503
749,2.660943875,0.22264425
750,2.66011325,0.22176575
751,2.659301375,0.220857625
752,2.658430733,0.219842933
753,2.657533687,0.218812125
754,2.656609313,0.217805875
755,2.655608812,0.216843813
756,2.65457025,0.2159155
757,2.65348275,0.2151205
758,2.652423687,0.214403312
759,2.651393062,0.213763938
760,2.650411,0.2131834
761,2.64951675,0.2126425
762,2.648746125,0.21215125
763,2.6481005,0.2116425
764,2.6475125,0.21111
765,2.64703,0.2105
766,2.646582375,0.209792125
767,2.646158,0.209019
768,2.645649333,0.208033
769,2.645100938,0.207032812
770,2.644512812,0.206018437
771,2.64379925,0.20497875
772,2.643026187,0.203951437
773,2.642146813,0.202959563
774,2.641141933,0.2020292
775,2.64009675,0.201181
776,2.6391055,0.200556
777,2.6382245,0.200022125
778,2.637417,0.199549
779,2.636828875,0.19903775
780,2.63627875,0.1984405
781,2.635785625,0.19771425
782,2.635110467,0.196798867
783,2.634324562,0.195880312
784,2.633386438,0.195064688
785,2.63237,0.194487063
786,2.631349188,0.194045812
787,2.630591063,0.193913937
788,2.63006,0.193760667
789,2.629756,0.193586
790,2.62979725,0.193006625
791,2.6297645,0.1921985
792,2.62962075,0.19104725
793,2.6290355,0.189758
794,2.628238375,0.18849275
795,2.62703525,0.1874615
796,2.625732,0.1867878
797,2.624410813,0.186394
798,2.623528938,0.186374
799,2.622893313,0.186348375
800,2.622503937,0.186317125
801,2.622376125,0.185963563
802,2.6222426,0.185453
803,2.622027933,0.184659667
804,2.621624,0.183805
805,2.621127625,0.182953
806,2.62045075,0.182173
807,2.619743875,0.181506625
808,2.619017,0.180916
809,2.618314333,0.180422667
810,2.617688938,0.179973812
811,2.617140813,0.179569437
812,2.616705188,0.179152687
813,2.616313375,0.178704562
814,2.615994625,0.178186437
815,2.615696438,0.177537937
816,2.615389,0.176802333
817,2.614919,0.175785667
818,2.614215375,0.174767375
819,2.613356,0.173748
820,2.612067875,0.17302675
821,2.61070475,0.17256375
822,2.609229125,0.172488125
823,2.608040667,0.173037267
824,2.607199188,0.173792
825,2.606999812,0.174662
826,2.607359125,0.1752625
827,2.607989875,0.175658563
828,2.608908625,0.175254188
829,2.609620333,0.174445667
830,2.610125,0.173233
831,2.609900625,0.171924875
832,2.609446,0.17076075
833,2.608646,0.169812625
834,2.607787333,0.169371267
835,2.607060125,0.169163
836,2.606673875,0.169203
837,2.606639813,0.1691975
838,2.60678725,0.169129813
839,2.60720975,0.168677937
840,2.607579,0.167964667
841,2.607895,0.16699
842,2.60786375,0.165858125
843,2.6076945,0.16473475
844,2.60731825,0.163624125
845,2.606778,0.1626845
846,2.606185533,0.1618186
847,2.6055482,0.1610766
848,2.604979875,0.160455875
849,2.604449188,0.15989275
850,2.603991063,0.15938025
851,2.604979875,0.160455875
852,2.604449188,0.15989275
853,2.603991063,0.15938025
854,2.603564187,0.158869625
855,2.603168563,0.158360875
856,2.6027846,0.1578054
857,2.60241775,0.157246
858,2.603168563,0.158360875
859,2.6027846,0.1578054
860,2.60241775,0.157246
861,2.602074625,0.1566885
862,2.601716,0.1560945
863,2.6013324,0.155478933
864,2.6008644,0.1548136
865,2.601716,0.1560945
866,2.6013324,0.155478933
867,2.6008644,0.1548136
868,2.600352562,0.154209313
869,2.599815062,0.153642
870,2.599215688,0.153172
871,2.598615687,0.152783562
872,2.598015063,0.152476687
873,2.597475,0.1522864
874,2.59701325,0.152143
875,2.596658875,0.1520505
876,2.5964305,0.151966
877,2.5962626,0.151871333
878,2.5962106,0.151728
879,2.596243562,0.151516125
880,2.596319875,0.151259188
881,2.596458625,0.150861062
882,2.596592063,0.150360437
883,2.596720187,0.149757312
884,2.5966856,0.1489158
885,2.5965035,0.14805875
886,2.59612725,0.147218125
887,2.5955055,0.1465455
888,2.594779933,0.145998867
889,2.5938846,0.1457882
890,2.593184187,0.145974375
891,2.592625562,0.146357062
892,2.592591188,0.146977688
893,2.5928765,0.147536125
894,2.5934815,0.148032375
895,2.594598,0.148085
896,2.59576725,0.1477905
897,2.596930375,0.14704925
898,2.597783,0.1458825
899,2.598454733,0.144550267
900,2.5987134,0.1429816
901,2.598605937,0.141564688
902,2.598313437,0.140250375
903,2.597767812,0.139274125
904,2.597210333,0.138454667
905,2.596641,0.137792
906,2.596247875,0.13740575
907,2.5959345,0.137069
908,2.59574075,0.1368065
909,2.595712133,0.136543867
910,2.595778188,0.136267562
911,2.595968813,0.135959438
912,2.59625875,0.135562937
913,2.596599562,0.135109687
914,2.597015187,0.134486562
915,2.597432667,0.133714333
916,2.597852,0.132793
917,2.598060125,0.131739875
918,2.59816775,0.13066975
919,2.598124625,0.129574125
920,2.5978776,0.128507
921,2.597540562,0.127537938
922,2.597112437,0.126781062
923,2.596717562,0.126225875
924,2.5963542,0.1257738
925,2.5961462,0.1254718
926,2.5960885,0.1252235
927,2.596131,0.125011
928,2.59641225,0.124759125
929,2.5967826,0.124442667
930,2.5972866,0.124029333
931,2.597873063,0.123476125
932,2.598488188,0.122844938
933,2.599148812,0.122068063
934,2.599840733,0.121078067
935,2.600517,0.119958625
936,2.601077,0.11868675
937,2.60149,0.117303125
938,2.601805,0.115845
939,2.601823,0.114255667
940,2.601703563,0.11277475
941,2.601446688,0.11140225
942,2.601004,0.1101982
943,2.60057125,0.109177
944,2.600184375,0.108402
945,2.599992,0.107784
946,2.5999094,0.107201933
947,2.6000714,0.1066066
948,2.600415313,0.10593275
949,2.600851875,0.105194687
950,2.601420625,0.104181563
951,2.601967,0.102967
952,2.602491,0.101551
953,2.602789125,0.100026625
954,2.60299525,0.09847075
955,2.603063375,0.096867625
956,2.6029522,0.095208333
957,2.6027605,0.0936035
958,2.6024855,0.0921585
959,2.602192562,0.090495154
960,2.6018922,0.088906292
961,2.6015942,0.087317429
962,2.601332875,0.085728567
963,2.601096,0.084139704
964,2.600898,0.082550842
965,2.600728687,0.080961979
966,2.600588062,0.079373117
967,2.600476688,0.077784254
968,2.6003698,0.076195392
969,2.6002658,0.074606529
970,2.600147,0.073017667
971,2.600007375,0.071428804
972,2.59979925,0.069839942
973,2.599466,0.068251079
974,2.599029125,0.066662217
975,2.598410375,0.065073354
976,2.597649667,0.063484492
977,2.596747,0.061895629
978,2.595706375,0.060306767
979,2.5946235,0.058717904
980,2.59347725,0.057129042
981,2.592290667,0.055540179
982,2.591142875,0.053951317
983,2.590109125,0.052362454
984,2.5891088,0.050773592
985,2.588155,0.049184729
986,2.58733,0.047595867
987,2.586533875,0.046007004
988,2.585757,0.044418142
989,2.584895,0.042829279
990,2.584026188,0.041240417
991,2.583150563,0.039651554
992,2.582148,0.038062692
993,2.581127,0.036473829
994,2.5800995,0.034884967
995,2.579034,0.033296104
996,2.577942533,0.031707242
997,2.5767852,0.030118379
998,2.575687687,0.028529517
999,2.574611733,0.026940654
1000,2.573499067,0.025351792
1001,2.572453625,0.023762929
1002,2.571453,0.022174067
1003,2.570518625,0.020585204
1004,2.569598267,0.019336715
1005,2.568698933,0.018100651
1006,2.56792725,0.016923629
1007,2.5671718,0.015806302
1008,2.566421133,0.014795716
1009,2.564905015,0.01383343
1010,2.563197533,0.012920455
1011,2.561490052,0.012094216
1012,2.55978257,0.011307489
1013,2.558075089,0.010561492
1014,2.556367607,0.009885972
1015,2.554660126,0.009242776
1016,2.552952644,0.008633217
1017,2.551245163,0.008080923
1018,2.549537681,0.007555073
1019,2.5478302,0.007056998
1020,2.546122719,0.006605452
1021,2.544415237,0.006175538
1022,2.542801147,0.005768558
1023,2.541404971,0.005399382
1024,2.540008794,0.005047902
1025,2.538612618,0.004715356
1026,2.537909971,0.004413523
1027,2.537284382,0.004126168
1028,2.536658794,0.003854443
1029,2.535932765,0.00360767
1030,2.535106294,0.00337274
1031,2.534279824,0.003150712
1032,2.533397412,0.002948955
1033,2.532011529,0.002756886
1034,2.530625647,0.002575465
1035,2.529239765,0.002410512
1036,2.527825,0.002253485
1037,2.526397857,0.002105245
1038,2.524970714,0.001970382
1039,2.523633118,0.001842004
1040,2.522653706,0.001720875
1041,2.521674294,0.001610615
1042,2.520694882,0.001505658
1043,2.520072176,0.001406683
1044,2.519538647,0.001316536
1045,2.519005118,0.001230728
1046,2.518461588,0.001149855
1047,2.517903059,0.001076152
1048,2.517344529,0.001005999
1049,2.516786,0.000939917
1050,2.515988647,0.00087966
1051,2.515191294,0.000822305
1052,2.514393941,0.00076831
